Region,Beach,Time_Period,Bars,Catch
Hunter,Stockton,1950-1959,173.8104784,173.8104784
Hunter,Stockton,1960-1969,403.7811834,229.970705
Hunter,Stockton,1970-1979,555.6750384,151.893855
Hunter,Stockton,1980-1989,631.9428286,76.26779016
Hunter,Stockton,1990-1999,791.0388651,159.0960365
Hunter,Stockton,2000-2009,991.4319282,200.3930631
Hunter,Nobby's,1950-1959,225.8669887,225.8669887
Hunter,Nobby's,1960-1969,433.8468546,207.9798659
Hunter,Nobby's,1970-1979,548.6756064,114.8287518
Hunter,Nobby's,1980-1989,582.4331771,33.75757077
Hunter,Nobby's,1990-1999,622.7894738,40.35629663
Hunter,Nobby's,2000-2009,670.784604,47.99513024
Hunter,Newcastle,1950-1959,18.0917603,18.0917603
Hunter,Newcastle,1960-1969,38.51092778,20.41916749
Hunter,Newcastle,1970-1979,208.1373018,169.626374
Hunter,Newcastle,1980-1989,246.4531776,38.31587581
Hunter,Newcastle,1990-1999,284.0812156,37.62803803
Hunter,Newcastle,2000-2009,355.3006744,71.21945879
Hunter,Bar,1950-1959,215.5446292,215.5446292
Hunter,Bar,1960-1969,480,264.4553708
Hunter,Bar,1970-1979,652.5712812,172.5712812
Hunter,Bar,1980-1989,682.9790558,30.40777463
Hunter,Bar,1990-1999,720.3901838,37.41112804
Hunter,Bar,2000-2009,773.5420641,53.15188029
Hunter,Dixon Park,1970-1979,93.08859007,93.08859007
Hunter,Dixon Park,1980-1989,118.4802031,25.39161304
Hunter,Dixon Park,1990-1999,148.4974381,30.01723498
Hunter,Dixon Park,2000-2009,186.5253109,38.02787279
Hunter,Mereweather,1950-1959,131.5096168,131.5096168
Hunter,Mereweather,1960-1969,322.2328295,190.7232127
Hunter,Mereweather,1970-1979,421.1760287,98.94319919
Hunter,Mereweather,1980-1989,445.4707467,24.29471801
Hunter,Mereweather,1990-1999,478.9305836,33.45983693
Hunter,Mereweather,2000-2009,523.1341824,44.20359875
Hunter,Redhead,1950-1959,63.973416,63.973416
Hunter,Redhead,1960-1969,146.9219178,82.94850176
Hunter,Redhead,1970-1979,289.8133908,142.891473
Hunter,Redhead,1980-1989,335.9195814,46.10619059
Hunter,Redhead,1990-1999,405.8999591,69.98037771
Hunter,Redhead,2000-2009,469.3219139,63.42195484
Hunter,Blacksmiths,1950-1959,71.36055559,71.36055559
Hunter,Blacksmiths,1960-1969,172.8452399,101.4846843
Hunter,Blacksmiths,1970-1979,279.4708435,106.6256036
Hunter,Blacksmiths,1980-1989,301.574894,22.10405053
Hunter,Blacksmiths,1990-1999,380.1533166,78.57842259
Hunter,Blacksmiths,2000-2009,492.1058142,111.9524977
Hunter,Caves,1950-1959,38.70641547,38.70641547
Hunter,Caves,1960-1969,82.5393719,43.83295643
Hunter,Caves,1970-1979,145.7585773,63.21920536
Hunter,Caves,1980-1989,187.545013,41.7864357
Hunter,Caves,1990-1999,213.871365,26.32635205
Hunter,Caves,2000-2009,247.1670126,33.29564761
Hunter,Catherine Hill Bay,1950-1959,52.50223958,52.50223958
Hunter,Catherine Hill Bay,1960-1969,114.0265406,61.52430103
Hunter,Catherine Hill Bay,1970-1979,203.5061609,89.47962026
Hunter,Catherine Hill Bay,1980-1989,238.7831182,35.27695737
Hunter,Catherine Hill Bay,1990-1999,257.8473789,19.06426067
Hunter,Catherine Hill Bay,2000-2009,286.8314049,28.98402594
Central Coast,Lakes,1980-1989,10,10
Central Coast,Lakes,1990-1999,43.75031714,33.75031714
Central Coast,Lakes,2000-2009,93.47520835,49.72489121
Central Coast,Soldies,1980-1989,8.173447388,8.173447388
Central Coast,Soldies,1990-1999,45.6868942,37.51344681
Central Coast,Soldies,2000-2009,90.80330132,45.11640712
Central Coast,Entrance,1980-1989,3.996314273,3.996314273
Central Coast,Entrance,1990-1999,91.21548114,87.21916687
Central Coast,Entrance,2000-2009,187.4481405,96.23265939
Central Coast,Shelly,1980-1989,8.403210769,8.403210769
Central Coast,Shelly,1990-1999,41.62870938,33.22549862
Central Coast,Shelly,2000-2009,82.29087307,40.66216368
Central Coast,Terringal,1990-1999,9.63379555,9.63379555
Central Coast,Terringal,2000-2009,38.47534496,28.84154941
Central Coast,North Avoca,1990-1999,6.863418505,6.863418505
Central Coast,Avoca,1990-1999,19.76618635,19.76618635
Central Coast,Avoca,2000-2009,50.51323232,30.74704597
Central Coast,Copacabana,2000-2009,8.916329621,8.916329621
Central Coast,MacMasters,1980-1989,8.166040351,8.166040351
Central Coast,MacMasters,1990-1999,37.70806308,29.54202273
Central Coast,MacMasters,2000-2009,76.14245148,38.4343884
Central Coast,Kilcare,1980-1989,9.08741765,9.08741765
Central Coast,Kilcare,1990-1999,85.7910611,76.70364345
Central Coast,Kilcare,2000-2009,170.3786966,84.58763546
Central Coast,Umina,1980-1989,7.945862548,7.945862548
Central Coast,Umina,1990-1999,93.42103531,85.47517277
Central Coast,Umina,2000-2009,221.6612441,128.2402088
Sydney North,Palm ,1950-1959,64.86734369,64.86734369
Sydney North,Palm ,1960-1969,100.7906013,35.92325765
Sydney North,Palm ,1970-1979,233.158563,132.3679616
Sydney North,Palm ,1980-1989,359.6946449,126.5360819
Sydney North,Palm ,1990-1999,409.4002923,49.70564744
Sydney North,Palm ,2000-2009,477.8600489,68.4597566
Sydney North,Whale,1950-1959,49.2429981,49.2429981
Sydney North,Whale,1960-1969,72.73681209,23.49381399
Sydney North,Whale,1970-1979,137.8745852,65.13777316
Sydney North,Whale,1980-1989,166.2056301,28.33104481
Sydney North,Whale,1990-1999,184.8080402,18.60241014
Sydney North,Whale,2000-2009,209.6477564,24.83971617
Sydney North,Avalon,1950-1959,48.09272884,48.09272884
Sydney North,Avalon,1960-1969,60,11.90727116
Sydney North,Avalon,1970-1979,111.4989982,51.49899819
Sydney North,Avalon,1980-1989,192.4600903,80.96109209
Sydney North,Avalon,1990-1999,215.9982013,23.53811098
Sydney North,Avalon,2000-2009,239.5625999,23.56439869
Sydney North,Bagola,1950-1959,8.487592895,8.487592895
Sydney North,Bagola,1960-1969,30.20836558,21.72077268
Sydney North,Bagola,1970-1979,70.46532077,40.25695519
Sydney North,Bagola,1980-1989,109.4160232,38.95070245
Sydney North,Bagola,1990-1999,123.3075579,13.89153466
Sydney North,Bagola,2000-2009,137.248618,13.94106014
Sydney North,Newport,1970-1979,80.26483062,80.26483062
Sydney North,Newport,1980-1989,124.8267266,44.56189601
Sydney North,Newport,1990-1999,137.4160751,12.58934852
Sydney North,Newport,2000-2009,151.0169925,13.60091738
Sydney North,Mona Vale ,1950-1959,28.08109362,28.08109362
Sydney North,Mona Vale ,1960-1969,51.52073457,23.43964095
Sydney North,Mona Vale ,1970-1979,104.8428315,53.32209691
Sydney North,Mona Vale ,1980-1989,149.7060922,44.86326074
Sydney North,Mona Vale ,1990-1999,163.2410725,13.53498023
Sydney North,Mona Vale ,2000-2009,181.665278,18.42420554
Sydney North,Warriewood,1950-1959,5.318252509,5.318252509
